# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_0.h5 0 
# uid: 21512
# jobid: 3480824
# start_time: 1667454937
# start_time_asci: Thu Nov  3 00:55:37 2022
# end_time: 1667454937
# end_time_asci: Thu Nov  3 00:55:37 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 327 bytes (compressed)
# record table: 145 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13638 bytes (compressed), ver=1
# HEATMAP module: 65 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 12316929884430929403, file_name: /homes/yll6162/project_metadata/train64_0.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read        0               0               8      0.0008      0.0008
 X_POSIX       0   read        1               0              16      0.0008      0.0008
 X_POSIX       0   read        2              16              80      0.0008      0.0008
 X_POSIX       0   read        3              96             512      0.0008      0.0008
 X_POSIX       0   read        4             680             512      0.0008      0.0008
 X_POSIX       0   read        5         8409076             704      0.0008      0.0008
 X_POSIX       0   read        6             136             544      0.0008      0.0008
 X_POSIX       0   read        7            1504             328      0.0008      0.0008
 X_POSIX       0   read        8             800             512      0.0008      0.0008
 X_POSIX       0   read        9             840             544      0.0008      0.0008
 X_POSIX       0   read       10            1384             512      0.0008      0.0008
 X_POSIX       0   read       11          309816             352      0.0008      0.0009
 X_POSIX       0   read       12           49008             328      0.0009      0.0009
 X_POSIX       0   read       13           48856             512      0.0009      0.0009
 X_POSIX       0   read       14           95400             512      0.0009      0.0009
 X_POSIX       0   read       15          106880             512      0.0009      0.0009
 X_POSIX       0   read       16          161208             512      0.0009      0.0009
 X_POSIX       0   read       17          281004             328      0.0009      0.0009
 X_POSIX       0   read       18          208720             512      0.0009      0.0009
 X_POSIX       0   read       19          239848             512      0.0009      0.0009
 X_POSIX       0   read       20          242224             512      0.0009      0.0009
 X_POSIX       0   read       21          262792             512      0.0009      0.0009
 X_POSIX       0   read       22          304808             328      0.0009      0.0009
 X_POSIX       0   read       23          280844             512      0.0009      0.0009
 X_POSIX       0   read       24          293104             512      0.0009      0.0009
 X_POSIX       0   read       25          297808             512      0.0010      0.0010
 X_POSIX       0   read       26          301920             512      0.0010      0.0010
 X_POSIX       0   read       27          304672             512      0.0010      0.0010
 X_POSIX       0   read       28          309680             512      0.0010      0.0010
 X_POSIX       0   read       29          314144             512      0.0010      0.0010
 X_POSIX       0   read       30          316896             512      0.0010      0.0010
 X_POSIX       0   read       31          317032             512      0.0010      0.0010
 X_POSIX       0   read       32          317072             544      0.0010      0.0010
 X_POSIX       0   read       33          317616             512      0.0010      0.0010
 X_POSIX       0   read       34          560788             352      0.0010      0.0010
 X_POSIX       0   read       35          345856             328      0.0010      0.0010
 X_POSIX       0   read       36          345704             512      0.0010      0.0010
 X_POSIX       0   read       37          373912             512      0.0010      0.0010
 X_POSIX       0   read       38          400192             512      0.0010      0.0010
