Segment        Offset         Length         
0              0              8              
1              0              608            
2              680            512            
3              8190804        704            
4              136            544            
5              1504           328            
6              800            512            
7              840            1056           
8              292176         352            
9              49072          328            
10             1832           512            
11             49400          512            
12             49552          512            
13             49704          512            
14             50776          328            
15             49856          512            
16             50008          512            
17             50336          512            
18             50456          512            
19             291712         328            
20             50616          512            
21             291144         512            
22             291304         512            
23             291440         512            
24             291576         512            
25             292040         512            
26             50160          512            
27             292528         512            
28             50296          512            
29             315464         544            
30             292664         512            
31             530236         352            
32             316008         328            
33             292784         512            
34             292936         512            
35             316336         512            
36             316488         512            
37             528876         328            
38             316640         512            
39             316792         512            
40             317120         512            
41             317240         512            
42             529772         328            
43             528716         512            
44             529204         512            
45             529364         512            
46             529500         512            
47             529636         512            
48             530100         512            
49             316944         512            
50             530588         512            
51             317080         512            
52             563804         1056           
53             624044         352            
54             564620         328            
55             564468         512            
56             564948         512            
57             565100         512            
58             565252         512            
59             606604         328            
60             565404         512            
61             565556         512            
62             565708         512            
63             606284         512            
64             607500         328            
65             606444         512            
66             606932         512            
67             607092         512            
68             607228         512            
69             607364         512            
70             607828         512            
71             606108         512            
72             607964         512            
73             530724         512            
74             624396         1056           
75             737044         352            
76             625212         328            
77             625060         512            
78             625540         512            
79             625692         512            
80             625844         512            
81             683092         328            
82             682172         512            
83             682324         512            
84             682652         512            
85             682772         512            
86             736716         328            
87             682932         512            
88             683420         512            
89             683580         512            
90             683716         512            
91             683852         512            
92             683988         512            
93             682476         512            
94             737396         512            
95             1146092        328            
96             606244         512            
97             737532         1056           
98             775752         352            
99             738348         328            
100            738196         512            
101            747116         512            
102            747268         512            
103            747420         512            
104            748492         328            
105            747572         512            
106            747724         512            
107            748052         512            
108            748172         512            
109            775288         328            
110            748332         512            
111            748820         512            
112            748980         512            
113            775016         512            
114            775152         512            
115            775616         512            
116            747876         512            
117            776104         512            
118            682612         512            
119            776240         1056           
120            811900         352            
121            780568         328            
122            776904         512            
123            780896         512            
124            781048         512            
125            781200         512            
126            782272         328            
127            781352         512            
128            781504         512            
129            781832         512            
130            781952         512            
131            811436         328            
132            782112         512            
133            810868         512            
134            811028         512            
135            811164         512            
136            811300         512            
137            811764         512            
138            781656         512            
139            812252         512            
140            748012         512            
141            816068         544            
142            812388         512            
143            1003216        352            
144            816612         328            
145            812508         512            
146            812660         512            
147            816940         512            
148            817092         512            
149            1001856        328            
150            817244         512            
151            817396         512            
152            817724         512            
153            817844         512            
154            1002752        328            
155            1001696        512            
156            1002184        512            
157            1002344        512            
158            1002480        512            
159            1002616        512            
160            1003080        512            
161            817548         512            
162            1003568        512            
163            781792         512            
164            1026828        1056           
165            1144900        352            
166            1027644        328            
167            1027492        512            
168            1027972        512            
169            1028124        512            
170            1028276        512            
171            1111804        328            
172            1028428        512            
173            1028580        512            
174            1028732        512            
175            1111484        512            
176            1112700        328            
177            1111644        512            
178            1112132        512            
179            1112292        512            
180            1112428        512            
181            1112564        512            
182            1113028        512            
183            1111308        512            
184            1113164        512            
185            1756072        328            
186            817684         512            
187            1145252        1056           
188            1266236        352            
189            1146572        328            
190            1146420        512            
191            1165940        512            
192            1166092        512            
193            1166244        512            
194            1167316        328            
195            1166396        512            
196            1166548        512            
197            1166876        512            
198            1166996        512            
199            1265772        328            
200            1167156        512            
201            1167644        512            
202            1167804        512            
203            1265500        512            
204            1265636        512            
205            1266100        512            
206            1166700        512            
207            1266588        512            
208            1003704        512            
209            1266724        1056           
210            1325404        352            
211            1278644        328            
212            1267388        512            
213            1278972        512            
214            1279124        512            
215            1279276        512            
216            1280348        328            
217            1279428        512            
218            1279580        512            
219            1279908        512            
220            1280028        512            
221            1324940        328            
222            1280188        512            
223            1324372        512            
224            1324532        512            
225            1324668        512            
226            1324804        512            
227            1325268        512            
228            1279732        512            
229            1325756        512            
230            1111444        512            
231            1330996        544            
232            1325892        512            
233            1445032        352            
234            1331540        328            
235            1326012        512            
236            1326164        512            
237            1331868        512            
238            1332020        512            
239            1443672        328            
240            1332172        512            
241            1332324        512            
242            1332652        512            
243            1332772        512            
244            1444568        328            
245            1443512        512            
246            1444000        512            
247            1444160        512            
248            1444296        512            
249            1444432        512            
250            1444896        512            
251            1332476        512            
252            1445384        512            
253            1166836        512            
254            1463644        1056           
255            1755056        352            
256            1464460        328            
257            1464308        512            
258            1464788        512            
259            1464940        512            
260            1465092        512            
261            1678012        328            
262            1465244        512            
263            1465396        512            
264            1465548        512            
265            1677692        512            
266            1678908        328            
267            1677852        512            
268            1678340        512            
269            1678500        512            
270            1678636        512            
271            1678772        512            
272            1679236        512            
273            1677516        512            
274            1679372        512            
275            2995108        328            
276            1279868        512            
277            1755408        1056           
278            1996876        352            
279            1756552        328            
280            1756400        512            
281            1756880        512            
282            1823984        512            
283            1824136        512            
284            1825208        328            
285            1824288        512            
286            1824440        512            
287            1824768        512            
288            1824888        512            
289            1996412        328            
290            1825048        512            
291            1825536        512            
292            1825696        512            
293            1825832        512            
294            1996276        512            
295            1996740        512            
296            1824592        512            
297            1997228        512            
298            1332612        512            
299            1997364        1056           
300            2089452        352            
301            2014156        328            
302            1998028        512            
303            2014484        512            
304            2014636        512            
305            2014788        512            
306            2015740        328            
307            2014940        512            
308            2015092        512            
309            1998180        512            
310            2015420        512            
311            2088988        328            
312            2015580        512            
313            2088556        512            
314            2016068        512            
315            2088716        512            
316            2088852        512            
317            2089316        512            
318            2015244        512            
319            2089804        512            
320            1445520        512            
321            2089940        1056           
322            2285780        352            
323            2119572        328            
324            2119420        512            
325            2119900        512            
326            2120052        512            
327            2120204        512            
328            2284580        328            
329            2120356        512            
330            2120508        512            
331            2120836        512            
332            2120956        512            
333            2285316        328            
334            2121116        512            
335            2121276        512            
336            2284908        512            
337            2285044        512            
338            2285180        512            
339            2285644        512            
340            2120660        512            
341            2286132        512            
342            1677652        512            
343            2321120        544            
344            2286268        512            
345            2854368        352            
346            2321664        328            
347            2286388        512            
348            2321992        512            
349            2322144        512            
350            2322296        512            
351            2853008        328            
352            2322448        512            
353            2322600        512            
354            2322928        512            
355            2852688        512            
356            2853904        328            
357            2852848        512            
358            2853336        512            
359            2853496        512            
360            2853632        512            
361            2853768        512            
362            2854232        512            
363            2322752        512            
364            2994428        512            
365            3744992        328            
366            1824728        512            
367            2994564        544            
368            2323048        512            
369            3250036        352            
370            2995588        328            
371            2995436        512            
372            2995916        512            
373            2996068        512            
374            2996220        512            
375            3163524        328            
376            3162604        512            
377            3162756        512            
378            3163084        512            
379            3163204        512            
380            3249708        328            
381            3163364        512            
382            3163852        512            
383            3164012        512            
384            3164148        512            
385            3164284        512            
386            3164420        512            
387            3162908        512            
388            3250388        512            
389            2015380        512            
390            3250524        1056           
391            3578472        352            
392            3251340        328            
393            3251188        512            
394            3343884        512            
395            3344036        512            
396            3344188        512            
397            3345260        328            
398            3344340        512            
399            3344492        512            
400            3344820        512            
401            3344940        512            
402            3578008        328            
403            3345100        512            
404            3345588        512            
405            3345748        512            
406            3577736        512            
407            3577872        512            
408            3578336        512            
409            3344644        512            
410            3578824        512            
411            2120796        512            
412            3578960        1056           
413            3654944        352            
414            3596208        328            
415            3579624        512            
416            3596536        512            
417            3596688        512            
418            3596840        512            
419            3597912        328            
420            3596992        512            
421            3597144        512            
422            3597472        512            
423            3597592        512            
424            3654480        328            
425            3597752        512            
426            3653912        512            
427            3654072        512            
428            3654208        512            
429            3654344        512            
430            3654808        512            
431            3597296        512            
432            3655296        512            
433            2322888        512            
434            3661144        544            
435            3655432        512            
436            3722652        352            
437            3661688        328            
438            1145828        512            
439            3662016        512            
440            3662168        512            
441            3662320        512            
442            3721292        328            
443            3662472        512            
444            3662624        512            
445            3662952        512            
446            3720972        512            
447            3722188        328            
448            3721132        512            
449            3721620        512            
450            3721780        512            
451            3721916        512            
452            3722052        512            
453            3722516        512            
454            3662776        512            
455            3744312        512            
456            5257532        328            
457            3163044        512            
458            3744448        544            
459            3663072        512            
460            4522196        352            
461            3745472        328            
462            3745320        512            
463            3745800        512            
464            3745952        512            
465            3746104        512            
466            4174352        328            
467            4173432        512            
468            4173584        512            
469            4173912        512            
470            4174032        512            
471            4521868        328            
472            4174192        512            
