Segment        Offset         Length         
0              0              2344           
1              49072          2032           
2              291144         2304           
3              315464         2288           
4              528716         2520           
5              563804         2416           
6              606108         2368           
7              624044         2312           
8              682172         2328           
9              736716         1960           
10             747116         2376           
11             775016         2400           
12             780568         2032           
13             810868         2304           
14             816068         2288           
15             1001696        2520           
16             1026828        2416           
17             1111308        2368           
18             1144900        2000           
19             1165940        2376           
20             1265500        2400           
21             1278644        2032           
22             1324372        2304           
23             1330996        2288           
24             1443512        2520           
25             1463644        2416           
26             1677516        2368           
27             1755056        2336           
28             1823984        2360           
29             1996276        2416           
30             2014156        2424           
31             2088556        2440           
32             2119420        2368           
33             2284580        2320           
34             2321120        2440           
35             2852688        2032           
36             2994428        2304           
37             3162604        2328           
38             3249708        1960           
39             3343884        2376           
40             3577736        2400           
41             3596208        2032           
42             3653912        2392           
43             3661144        2440           
44             3720972        2032           
45             3744312        2304           
46             4173432        2328           
47             4521868        1960           
48             4576164        2376           
49             4696812        2400           
50             4733948        2032           
51             4976108        2304           
52             5001644        2288           
53             5205992        2520           
54             5256868        2440           
55             5276884        2024           
56             5328004        2432           
57             5345564        2376           
58             5418868        2432           
59             5441316        2432           
60             5638648        2416           
61             5659592        2408           
62             5689304        2000           
63             5696056        2432           
64             5867672        2312           
65             5913804        2344           
66             6012364        1992           
67             6044008        2432           
68             6141656        2376           
69             6489376        2432           
70             6522784        2432           
71             6624132        2416           
72             6634108        2416           
73             6714972        2416           
74             6732576        2432           
75             7150908        2032           
76             7252204        2432           
77             7432316        2368           
78             7491292        2312           
79             7523268        2328           
80             7552100        2320           
81             7564676        2032           
82             7716612        2304           
83             7734916        2288           
84             7862184        2520           
85             7888116        2416           
86             7956804        2368           
87             7984072        2312           
88             8060240        2328           
89             8123788        2320           
90             8135588        2032           
91             8183540        2304           
92             8190260        2392           
93             8301008        2032           
94             8325260        2400           
95             8388844        2352           
96             8409760        2296           
97             8475408        2344           
98             8533888        1944           
99             8549072        2368           
100            8626616        2320           
101            8642668        2440           
102            8702032        2032           
103            8721860        2432           
104            9118900        2368           
105            9230348        2312           
106            9341948        2328           
107            9419252        2320           
108            9431812        2032           
109            9501728        2304           
110            9511248        2288           
111            9752432        2520           
112            9796940        2416           
113            10026220       2368           
114            10101968       2312           
115            10246144       2328           
116            10336024       2320           
117            10363736       2032           
118            10520688       2304           
119            10538064       2288           
120            10590688       2520           
121            10600856       2416           
122            10718712       2368           
123            10768224       2312           
124            10816912       2328           
125            10861276       2320           
126            10885028       2032           
127            11028712       2304           
128            11043960       2288           
129            11119616       2384           
130            11135280       2416           
131            11218960       2368           
132            11253212       2312           
133            11318468       2328           
134            11355060       2320           
135            11376292       2032           
136            11543704       2304           
137            11562408       2288           
138            11636920       2384           
139            11652416       2416           
140            11905648       2368           
141            11993500       2312           
142            12154948       2328           
143            12245656       1192           
