Segment        Offset         Length         
0              0              8              
1              0              608            
2              136            1056           
3              712            512            
4              752            512            
5              800            512            
6              840            1056           
7              1504           840            
8              1984           840            
9              2464           512            
10             2616           512            
11             2768           512            
12             2920           512            
13             3072           512            
14             3208           512            
15             3248           512            
16             3368           512            
17             3528           512            
18             3688           840            
19             4176           512            
20             4312           512            
21             4448           512            
22             4584           840            
23             5048           864            
24             5536           1056           
25             6200           512            
26             6352           840            
27             6832           512            
28             6984           512            
29             7136           512            
30             7288           512            
31             7440           512            
32             7576           512            
33             7616           512            
34             7736           512            
35             7896           512            
36             8056           840            
37             8544           512            
38             8680           512            
39             8816           512            
40             8952           840            
41             9416           864            
42             9904           1056           
43             10568          512            
44             10720          840            
45             11200          512            
46             11352          512            
47             11504          512            
48             11656          512            
49             11808          512            
50             11944          512            
51             11984          512            
52             12104          512            
53             12264          512            
54             12424          840            
55             12912          512            
56             13048          512            
57             13184          512            
58             13320          840            
59             13784          864            
60             14272          1056           
61             14936          512            
62             15088          840            
63             15568          512            
64             15720          512            
65             15872          512            
66             16024          512            
67             16176          512            
68             16312          512            
69             16352          512            
70             16472          512            
71             16632          512            
72             16792          840            
73             17280          512            
74             17416          512            
75             17552          512            
76             17688          840            
77             18152          864            
78             18640          1056           
79             19304          512            
80             19456          840            
81             19936          512            
82             20088          512            
83             20240          512            
84             20392          512            
85             20544          512            
86             20680          512            
87             20720          512            
88             20840          512            
89             21000          512            
90             21160          840            
91             21648          512            
92             21784          512            
93             21920          512            
94             22056          840            
95             22520          864            
96             23008          1056           
97             23672          512            
98             23824          840            
99             24304          512            
100            24456          512            
101            24608          512            
102            24760          512            
103            24912          512            
104            25048          512            
105            25088          512            
106            25208          512            
107            25368          512            
108            25528          840            
109            26016          512            
110            26152          512            
111            26288          512            
112            26424          840            
113            26888          864            
114            27376          1056           
115            28040          512            
116            28192          840            
117            28672          512            
118            28824          512            
119            28976          512            
120            29128          512            
121            29280          512            
122            29416          512            
123            29456          512            
124            29576          512            
125            29736          512            
126            29896          840            
127            30384          512            
128            30520          512            
129            30656          512            
130            30792          840            
131            31256          864            
132            31744          1056           
133            32408          512            
134            32560          840            
135            33040          512            
136            33192          512            
137            33344          512            
138            33496          512            
139            33648          512            
140            33784          512            
141            33824          512            
142            33944          512            
143            34104          512            
144            34264          840            
145            34752          512            
146            34888          512            
147            35024          512            
148            35160          840            
149            35624          864            
150            36112          1056           
151            36688          512            
152            36952          840            
153            37432          840            
154            37912          512            
155            38064          512            
156            38216          512            
157            38368          512            
158            38520          512            
159            38656          512            
160            38696          512            
161            38816          512            
162            38976          512            
163            39136          840            
164            39624          512            
165            39760          512            
166            39896          512            
167            40032          840            
168            40496          864            
169            40984          1056           
170            41648          512            
171            41800          840            
172            42280          512            
173            42432          512            
174            42584          512            
175            42736          512            
176            42888          512            
177            43024          512            
178            43064          512            
179            43184          512            
180            43344          512            
181            43504          840            
182            43992          512            
183            44128          512            
184            44264          512            
185            44400          840            
186            44864          864            
187            45352          1056           
188            46016          512            
189            46168          840            
190            46648          512            
191            46800          512            
192            46952          512            
193            47104          512            
194            47256          512            
195            47392          512            
196            47432          512            
197            47552          512            
198            47712          512            
199            47872          840            
200            48360          512            
201            48496          512            
202            48632          512            
203            48768          840            
204            49232          864            
205            49720          1056           
206            50384          512            
207            50536          840            
208            51016          512            
209            51168          512            
210            51320          512            
211            51472          512            
212            51624          512            
213            51760          512            
214            51800          512            
215            51920          512            
216            52080          512            
217            52240          840            
218            52728          512            
219            52864          512            
220            53000          512            
221            53136          840            
222            53600          864            
223            54088          1056           
224            54752          840            
225            55232          840            
226            55712          512            
227            55864          512            
228            56016          512            
229            56168          512            
230            56320          512            
231            56456          512            
232            56496          512            
233            56616          512            
234            56776          512            
235            56936          840            
236            57424          512            
237            57560          512            
238            57696          512            
239            57832          840            
240            58296          864            
241            58784          1056           
242            59448          512            
243            59600          840            
244            60080          512            
245            60232          512            
246            60384          512            
247            60536          512            
248            60688          512            
249            60824          512            
250            60864          512            
251            60984          512            
252            61144          512            
253            61304          840            
254            61792          512            
255            61928          512            
256            62064          512            
257            62200          840            
258            62664          864            
259            63152          1056           
260            63816          512            
261            63968          840            
262            64448          512            
263            64600          512            
264            64752          512            
265            64904          512            
266            65056          512            
267            65192          512            
268            65232          512            
269            65352          512            
270            65512          512            
271            65672          840            
272            66160          512            
273            66296          512            
274            66432          512            
275            66568          840            
276            67032          864            
277            67520          1056           
278            68184          512            
279            68336          840            
280            68816          512            
281            68968          512            
282            69120          512            
283            69272          512            
284            69424          512            
285            69560          512            
286            69600          512            
287            69720          512            
288            69880          512            
289            70040          840            
290            70528          512            
291            70664          512            
292            70800          512            
293            70936          840            
294            71400          864            
295            71888          1056           
296            72552          840            
297            73032          840            
298            73512          512            
299            73664          512            
300            73816          512            
301            73968          512            
302            74120          512            
303            74256          512            
304            74296          512            
305            74416          512            
306            74576          512            
307            74736          840            
308            75224          512            
309            75360          512            
310            75496          512            
311            75632          840            
312            76096          864            
313            76584          1056           
314            77248          512            
315            77400          840            
316            77880          512            
317            78032          512            
318            78184          512            
319            78336          512            
320            78488          512            
321            78624          512            
322            78664          512            
323            78784          512            
324            78944          512            
325            79104          840            
326            79592          512            
327            79728          512            
328            79864          512            
329            80000          840            
330            80464          864            
331            80952          1056           
332            81616          512            
333            81768          840            
334            82248          512            
335            82400          512            
336            82552          512            
337            82704          512            
338            82856          512            
339            82992          512            
340            83032          512            
341            83152          512            
342            83312          512            
343            83472          840            
344            83960          512            
345            84096          512            
346            84232          512            
347            84368          840            
348            84832          864            
349            85320          1056           
350            85896          512            
351            86048          512            
352            86200          512            
353            86336          840            
354            86816          512            
355            86968          512            
356            87120          512            
357            87272          512            
358            87424          512            
359            87560          512            
360            87600          512            
361            87720          512            
362            87880          512            
363            88040          840            
364            88528          512            
365            88664          512            
366            88800          512            
367            88936          840            
368            89400          864            
369            89888          1056           
370            90552          840            
371            91032          840            
372            91512          512            
373            91664          512            
374            91816          512            
375            91968          512            
376            92120          512            
377            92256          512            
378            92296          512            
379            92416          512            
380            92576          512            
381            92736          840            
382            93224          512            
383            93360          512            
384            93496          512            
385            93632          840            
386            94096          864            
387            94584          1056           
388            95248          512            
389            95400          840            
390            95880          512            
391            96032          512            
392            96184          512            
393            96336          512            
394            96488          512            
395            96624          512            
396            96664          512            
397            96784          512            
398            96944          512            
399            97104          840            
400            97592          512            
401            97728          512            
402            97864          512            
403            98000          840            
404            98464          864            
405            98952          1056           
406            99616          512            
407            99768          840            
408            100248         512            
409            100400         512            
410            100552         512            
411            100704         512            
412            100856         512            
413            100992         512            
414            101032         512            
415            101152         512            
416            101312         512            
417            101472         840            
418            101960         512            
419            102096         512            
420            102232         512            
421            102368         840            
422            102832         864            
423            103320         1056           
424            103984         512            
425            104136         840            
426            104616         512            
427            104768         512            
428            104920         512            
429            105072         512            
430            105224         512            
431            105360         512            
432            105400         512            
433            105520         512            
434            105680         512            
435            105840         840            
436            106328         512            
437            106464         512            
438            106600         512            
439            106736         840            
440            107200         864            
441            107688         1056           
442            108352         840            
443            108832         840            
444            109312         512            
445            109464         512            
446            109616         512            
447            109768         512            
448            109920         512            
449            110056         512            
450            110096         512            
451            110216         512            
452            110376         512            
453            110536         840            
454            111024         512            
455            111160         512            
456            111296         512            
457            111432         840            
458            111896         864            
459            112384         1056           
460            113048         512            
461            113200         840            
462            113680         512            
463            113832         512            
464            113984         512            
465            114136         512            
466            114288         512            
467            114424         512            
468            114464         512            
469            114584         512            
470            114744         512            
471            114904         840            
472            115392         512            
473            115528         512            
474            115664         512            
475            115800         840            
476            116264         864            
477            116752         1056           
478            117416         512            
479            117568         840            
480            118048         512            
481            118200         512            
482            118352         512            
483            118504         512            
484            118656         512            
485            118792         512            
486            118832         512            
487            118952         512            
488            119112         512            
489            119272         840            
490            119760         512            
491            119896         512            
492            120032         512            
493            120168         840            
494            120632         864            
495            121120         1056           
496            121784         512            
497            121936         840            
498            122416         512            
499            122568         512            
500            122720         512            
501            122872         512            
502            123024         512            
503            123160         512            
504            123200         512            
505            123320         512            
506            123480         512            
507            123640         840            
508            124128         512            
509            124264         512            
510            124400         512            
511            124536         840            
