# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_4194304.h5 4194304 
# uid: 21512
# jobid: 2318893
# start_time: 1670488253
# start_time_asci: Thu Dec  8 02:30:53 2022
# end_time: 1670488253
# end_time_asci: Thu Dec  8 02:30:53 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 335 bytes (compressed)
# record table: 162 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 49 bytes (compressed), ver=2
# DXT_POSIX module: 12499 bytes (compressed), ver=1
# HEATMAP module: 78 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 13216830486790783839, file_name: /homes/yll6162/project_metadata/project_hdf_block/train64_4194304.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read        0               0               8      0.0008      0.0012
 X_POSIX       0   read        1               0              16      0.0012      0.0012
 X_POSIX       0   read        2              16              80      0.0012      0.0012
 X_POSIX       0   read        3              96             512      0.0012      0.0012
 X_POSIX       0   read        4             680             512      0.0013      0.0013
 X_POSIX       0   read        5          184248             704      0.0013      0.0014
 X_POSIX       0   read        6             136             544      0.0014      0.0014
 X_POSIX       0   read        7            1504             328      0.0014      0.0014
 X_POSIX       0   read        8             800             512      0.0014      0.0014
 X_POSIX       0   read        9             840             544      0.0014      0.0014
 X_POSIX       0   read       10            1384             512      0.0014      0.0014
 X_POSIX       0   read       11            5048             352      0.0014      0.0014
 X_POSIX       0   read       12            1984             328      0.0014      0.0014
 X_POSIX       0   read       13            1832             512      0.0014      0.0014
 X_POSIX       0   read       14            2312             512      0.0014      0.0014
 X_POSIX       0   read       15            2464             512      0.0014      0.0014
 X_POSIX       0   read       16            2616             512      0.0014      0.0014
 X_POSIX       0   read       17            3688             328      0.0014      0.0014
 X_POSIX       0   read       18            2768             512      0.0014      0.0014
 X_POSIX       0   read       19            2920             512      0.0015      0.0015
 X_POSIX       0   read       20            3248             512      0.0015      0.0015
 X_POSIX       0   read       21            3368             512      0.0015      0.0015
 X_POSIX       0   read       22            4584             328      0.0015      0.0015
 X_POSIX       0   read       23            3528             512      0.0015      0.0015
 X_POSIX       0   read       24            4016             512      0.0015      0.0015
 X_POSIX       0   read       25            4176             512      0.0015      0.0015
 X_POSIX       0   read       26            4312             512      0.0015      0.0015
 X_POSIX       0   read       27            4448             512      0.0015      0.0015
 X_POSIX       0   read       28            4912             512      0.0015      0.0015
 X_POSIX       0   read       29            3072             512      0.0015      0.0015
 X_POSIX       0   read       30            5400             512      0.0015      0.0015
 X_POSIX       0   read       31            3208             512      0.0015      0.0015
 X_POSIX       0   read       32            5536             544      0.0015      0.0015
 X_POSIX       0   read       33            6080             512      0.0015      0.0015
 X_POSIX       0   read       34            9416             352      0.0015      0.0015
 X_POSIX       0   read       35            6352             328      0.0015      0.0015
 X_POSIX       0   read       36            6200             512      0.0015      0.0015
 X_POSIX       0   read       37            6680             512      0.0015      0.0015
 X_POSIX       0   read       38            6832             512      0.0015      0.0015
 X_POSIX       0   read       39            6984             512      0.0015      0.0015
 X_POSIX       0   read       40            8056             328      0.0015      0.0015
 X_POSIX       0   read       41            7136             512      0.0015      0.0015
 X_POSIX       0   read       42            7288             512      0.0015      0.0015
 X_POSIX       0   read       43            7616             512      0.0015      0.0015
 X_POSIX       0   read       44            7736             512      0.0015      0.0015
 X_POSIX       0   read       45            8952             328      0.0016      0.0016
 X_POSIX       0   read       46            7896             512      0.0016      0.0016
 X_POSIX       0   read       47            8384             512      0.0016      0.0016
 X_POSIX       0   read       48            8544             512      0.0016      0.0016
 X_POSIX       0   read       49            8680             512      0.0016      0.0016
 X_POSIX       0   read       50            8816             512      0.0016      0.0016
 X_POSIX       0   read       51            9280             512      0.0016      0.0016
 X_POSIX       0   read       52            7440             512      0.0016      0.0016
 X_POSIX       0   read       53            9768             512      0.0016      0.0016
 X_POSIX       0   read       54            7576             512      0.0016      0.0016
 X_POSIX       0   read       55            9904             544      0.0016      0.0016
 X_POSIX       0   read       56           10448             512      0.0016      0.0016
 X_POSIX       0   read       57           13784             352      0.0016      0.0016
 X_POSIX       0   read       58           10720             328      0.0016      0.0016
 X_POSIX       0   read       59           10568             512      0.0016      0.0016
 X_POSIX       0   read       60           11048             512      0.0016      0.0016
 X_POSIX       0   read       61           11200             512      0.0016      0.0016
 X_POSIX       0   read       62           11352             512      0.0016      0.0016
 X_POSIX       0   read       63           12424             328      0.0016      0.0016
 X_POSIX       0   read       64           11504             512      0.0016      0.0016
 X_POSIX       0   read       65           11656             512      0.0016      0.0016
 X_POSIX       0   read       66           11984             512      0.0016      0.0016
 X_POSIX       0   read       67           12104             512      0.0016      0.0016
 X_POSIX       0   read       68           13320             328      0.0016      0.0016
 X_POSIX       0   read       69           12264             512      0.0016      0.0017
 X_POSIX       0   read       70           12752             512      0.0017      0.0017
 X_POSIX       0   read       71           12912             512      0.0017      0.0017
 X_POSIX       0   read       72           13048             512      0.0017      0.0017
 X_POSIX       0   read       73           13184             512      0.0017      0.0017
 X_POSIX       0   read       74           13648             512      0.0017      0.0017
 X_POSIX       0   read       75           11808             512      0.0017      0.0017
 X_POSIX       0   read       76           14136             512      0.0017      0.0017
 X_POSIX       0   read       77           11944             512      0.0017      0.0017
 X_POSIX       0   read       78           14272             544      0.0017      0.0017
 X_POSIX       0   read       79           14816             512      0.0017      0.0017
 X_POSIX       0   read       80           18152             352      0.0017      0.0017
 X_POSIX       0   read       81           15088             328      0.0017      0.0017
 X_POSIX       0   read       82           14936             512      0.0017      0.0017
 X_POSIX       0   read       83           15416             512      0.0017      0.0017
 X_POSIX       0   read       84           15568             512      0.0017      0.0017
 X_POSIX       0   read       85           15720             512      0.0017      0.0017
 X_POSIX       0   read       86           16792             328      0.0018      0.0018
 X_POSIX       0   read       87           15872             512      0.0018      0.0018
 X_POSIX       0   read       88           16024             512      0.0018      0.0018
 X_POSIX       0   read       89           16352             512      0.0018      0.0018
 X_POSIX       0   read       90           16472             512      0.0018      0.0018
 X_POSIX       0   read       91           17688             328      0.0018      0.0018
 X_POSIX       0   read       92           16632             512      0.0018      0.0018
 X_POSIX       0   read       93           17120             512      0.0018      0.0018
 X_POSIX       0   read       94           17280             512      0.0018      0.0018
 X_POSIX       0   read       95           17416             512      0.0018      0.0018
 X_POSIX       0   read       96           17552             512      0.0018      0.0018
 X_POSIX       0   read       97           18016             512      0.0018      0.0018
 X_POSIX       0   read       98           16176             512      0.0018      0.0018
 X_POSIX       0   read       99           18504             512      0.0018      0.0018
 X_POSIX       0   read      100           36952             328      0.0018      0.0018
 X_POSIX       0   read      101           16312             512      0.0018      0.0018
 X_POSIX       0   read      102           18640             544      0.0018      0.0018
 X_POSIX       0   read      103           19184             512      0.0018      0.0018
 X_POSIX       0   read      104           22520             352      0.0018      0.0018
 X_POSIX       0   read      105           19456             328      0.0018      0.0018
 X_POSIX       0   read      106           19304             512      0.0018      0.0018
 X_POSIX       0   read      107           19784             512      0.0018      0.0018
 X_POSIX       0   read      108           19936             512      0.0018      0.0018
 X_POSIX       0   read      109           20088             512      0.0018      0.0018
 X_POSIX       0   read      110           21160             328      0.0018      0.0018
 X_POSIX       0   read      111           20240             512      0.0018      0.0018
 X_POSIX       0   read      112           20392             512      0.0019      0.0019
 X_POSIX       0   read      113           20720             512      0.0019      0.0019
 X_POSIX       0   read      114           20840             512      0.0019      0.0019
 X_POSIX       0   read      115           22056             328      0.0019      0.0019
