Segment        Offset         Length         
0              0              2344           
1              15872          2032           
2              147724         2304           
3              162204         2288           
4              612340         2520           
5              669580         2416           
6              739900         2368           
7              768112         2312           
8              895296         2328           
9              1023052        1960           
10             1057668        2376           
11             1176880        2400           
12             1195600        2032           
13             1283608        2304           
14             1294680        2288           
15             1530280        2520           
16             1582592        2416           
17             1720800        2368           
18             1782808        2000           
19             1809408        2376           
20             1937540        2400           
21             1960820        2032           
22             2068436        2304           
23             2079988        2288           
24             2144856        2520           
25             2158472        2416           
26             2251608        2368           
27             2288620        2336           
28             2394820        2360           
29             2836652        2416           
30             2872620        2424           
31             2932148        2440           
32             2954260        2368           
33             3122488        2320           
34             3163340        2440           
35             3219484        2032           
36             3237816        2304           
37             3281576        2328           
38             3308780        1960           
39             3319460        2376           
40             3375112        2400           
41             3394016        2032           
42             3499588        2392           
43             3511348        2440           
44             3656780        2032           
45             3705924        2304           
46             3781300        2328           
47             3849988        1960           
48             3943012        2376           
49             4299880        2400           
50             4341400        2032           
51             4513792        2304           
52             4532416        2288           
53             4599360        2520           
54             4614224        2440           
55             4633328        2024           
56             4658244        2432           
57             4668148        2376           
58             4716180        2432           
59             4733204        2432           
60             5047540        2416           
61             5084348        2408           
62             5150164        2000           
63             5163776        2432           
64             5233080        2312           
65             5260260        2344           
66             5445364        1992           
67             5495532        2432           
68             5507340        2376           
69             5556144        2432           
70             5561688        2432           
71             5587604        2416           
72             5591956        2416           
73             5676600        2416           
74             5693888        2432           
75             5872924        2032           
76             5939512        2432           
77             5995704        2368           
78             6019740        2312           
79             6107244        2328           
80             6171360        2320           
81             6197352        2032           
82             6350220        2304           
83             6366460        2288           
84             6870020        2520           
85             6973480        2416           
86             7164696        2368           
87             7230900        2312           
88             7317980        2328           
89             7412104        2320           
90             7441856        2032           
91             7572908        2304           
92             7585660        2392           
93             7620476        2032           
94             7632468        2400           
95             7735684        2352           
96             7772252        2296           
97             7815788        2344           
98             7883256        1944           
99             7920896        2368           
100            8153832        2320           
101            8206052        2440           
102            8604040        2032           
103            8661880        2432           
104            8822792        2368           
105            8885988        2312           
106            8964388        2328           
107            9011744        2320           
108            9023624        2032           
109            9113156        2304           
110            9124916        2288           
111            9193896        2520           
112            9210376        2416           
113            9588776        2368           
114            9718984        2312           
115            9809272        2328           
116            9847916        2320           
117            9860884        2032           
118            10022592       2304           
119            10041008       2288           
120            10270144       2520           
121            10313640       2416           
122            10444792       2368           
123            10479304       2312           
124            10579328       2328           
125            10710472       2320           
126            10740840       2032           
127            10955556       2304           
128            10979156       2288           
129            11182152       2520           
130            11207444       2416           
131            11257748       2368           
132            11275752       2312           
133            11332368       2328           
134            11356184       2320           
135            11397848       2032           
136            11662796       2304           
137            11690332       2288           
138            11712844       2520           
139            11718860       2416           
140            11996060       2368           
141            12080660       2312           
142            12546836       2328           
143            12872916       2320           
144            12908068       2032           
145            12953008       2304           
146            12959840       2288           
147            13067424       2520           
148            13086148       2416           
149            13245844       2368           
150            13293700       2312           
151            13408940       2328           
152            13498808       2320           
153            13511680       2032           
154            13587524       2304           
155            13597748       2288           
156            13944576       2520           
157            14002636       2416           
158            14150876       2368           
159            14201688       2312           
160            14340744       2328           
161            14456572       2320           
162            14474260       2032           
163            14551772       2304           
164            14561820       2288           
165            14809024       2520           
166            14863648       2416           
167            14978960       2368           
168            15018272       2312           
169            15060352       2328           
170            15101552       2320           
171            15119472       2032           
172            15250904       2304           
173            15265688       2288           
174            15314972       2520           
175            15327976       2416           
176            15532712       2368           
177            15605576       2312           
178            15634760       2328           
179            15657488       2320           
180            15664160       2032           
181            15702580       2304           
182            15708644       2288           
183            15781228       2520           
184            15801300       2416           
185            15856004       2368           
186            15880388       2312           
187            16140876       2328           
188            16388988       2320           
189            16464636       2032           
190            16928408       2304           
191            16973544       2288           
192            17313416       2328           
193            17552736       1960           
194            17578816       2376           
195            17624908       2400           
196            17648732       2032           
197            17812196       1968           
198            17829732       2432           
199            17880060       2312           
200            17900676       2344           
201            18009132       1992           
202            18045628       2432           
203            18108148       2376           
204            18321024       2432           
205            18344280       2432           
206            18549268       2416           
207            18571628       2416           
208            18643524       2416           
209            18657892       2432           
210            18798900       2032           
211            18838448       2432           
212            18864176       2368           
213            18874040       2312           
214            18988624       2328           
215            19069364       2320           
216            19099340       2032           
217            19255752       2304           
218            19271832       2288           
219            19357564       2520           
220            19375236       2416           
221            19420052       2368           
222            19435636       2312           
