# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_2048.h5 2048 
# uid: 21512
# jobid: 2709727
# start_time: 1670637532
# start_time_asci: Fri Dec  9 19:58:52 2022
# end_time: 1670637532
# end_time_asci: Fri Dec  9 19:58:52 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 334 bytes (compressed)
# record table: 159 bytes (compressed)
# POSIX module: 155 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13461 bytes (compressed), ver=1
# HEATMAP module: 78 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 1291231226982835109, file_name: /homes/yll6162/project_metadata/project_hdf_block/train64_2048.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read        0               0               8      0.0008      0.0008
 X_POSIX       0   read        1               0              16      0.0008      0.0008
 X_POSIX       0   read        2              16              80      0.0008      0.0008
 X_POSIX       0   read        3              96             512      0.0008      0.0008
 X_POSIX       0   read        4             680             512      0.0008      0.0008
 X_POSIX       0   read        5         8190804             704      0.0008      0.0008
 X_POSIX       0   read        6             136             544      0.0008      0.0008
 X_POSIX       0   read        7            1504             328      0.0008      0.0008
 X_POSIX       0   read        8             800             512      0.0009      0.0009
 X_POSIX       0   read        9             840             544      0.0009      0.0009
 X_POSIX       0   read       10            1384             512      0.0009      0.0009
 X_POSIX       0   read       11          292176             352      0.0009      0.0009
 X_POSIX       0   read       12           49072             328      0.0009      0.0009
 X_POSIX       0   read       13            1832             512      0.0009      0.0009
 X_POSIX       0   read       14           49400             512      0.0009      0.0009
 X_POSIX       0   read       15           49552             512      0.0009      0.0009
 X_POSIX       0   read       16           49704             512      0.0009      0.0009
 X_POSIX       0   read       17           50776             328      0.0009      0.0009
 X_POSIX       0   read       18           49856             512      0.0009      0.0009
 X_POSIX       0   read       19           50008             512      0.0009      0.0009
 X_POSIX       0   read       20           50336             512      0.0009      0.0009
 X_POSIX       0   read       21           50456             512      0.0009      0.0009
 X_POSIX       0   read       22          291712             328      0.0009      0.0009
 X_POSIX       0   read       23           50616             512      0.0009      0.0009
 X_POSIX       0   read       24          291144             512      0.0009      0.0009
 X_POSIX       0   read       25          291304             512      0.0009      0.0009
 X_POSIX       0   read       26          291440             512      0.0009      0.0009
 X_POSIX       0   read       27          291576             512      0.0009      0.0009
 X_POSIX       0   read       28          292040             512      0.0009      0.0009
 X_POSIX       0   read       29           50160             512      0.0009      0.0009
 X_POSIX       0   read       30          292528             512      0.0009      0.0009
 X_POSIX       0   read       31           50296             512      0.0009      0.0009
 X_POSIX       0   read       32          315464             544      0.0010      0.0010
 X_POSIX       0   read       33          292664             512      0.0010      0.0010
 X_POSIX       0   read       34          530236             352      0.0010      0.0010
 X_POSIX       0   read       35          316008             328      0.0010      0.0010
 X_POSIX       0   read       36          292784             512      0.0010      0.0010
 X_POSIX       0   read       37          292936             512      0.0010      0.0010
 X_POSIX       0   read       38          316336             512      0.0010      0.0010
 X_POSIX       0   read       39          316488             512      0.0010      0.0010
