Segment        Offset         Length         
0              0              8              
1              0              608            
2              680            512            
3              184248         704            
4              136            544            
5              1504           328            
6              800            512            
7              840            1056           
8              5048           352            
9              1984           328            
10             1832           512            
11             2312           512            
12             2464           512            
13             2616           512            
14             3688           328            
15             2768           512            
16             2920           512            
17             3248           512            
18             3368           512            
19             4584           328            
20             3528           512            
21             4016           512            
22             4176           512            
23             4312           512            
24             4448           512            
25             4912           512            
26             3072           512            
27             5400           512            
28             3208           512            
29             5536           1056           
30             9416           352            
31             6352           328            
32             6200           512            
33             6680           512            
34             6832           512            
35             6984           512            
36             8056           328            
37             7136           512            
38             7288           512            
39             7616           512            
40             7736           512            
41             8952           328            
42             7896           512            
43             8384           512            
44             8544           512            
45             8680           512            
46             8816           512            
47             9280           512            
48             7440           512            
49             9768           512            
50             7576           512            
51             9904           1056           
52             13784          352            
53             10720          328            
54             10568          512            
55             11048          512            
56             11200          512            
57             11352          512            
58             12424          328            
59             11504          512            
60             11656          512            
61             11984          512            
62             12104          512            
63             13320          328            
64             12264          512            
65             12752          512            
66             12912          512            
67             13048          512            
68             13184          512            
69             13648          512            
70             11808          512            
71             14136          512            
72             11944          512            
73             14272          1056           
74             18152          352            
75             15088          328            
76             14936          512            
77             15416          512            
78             15568          512            
79             15720          512            
80             16792          328            
81             15872          512            
82             16024          512            
83             16352          512            
84             16472          512            
85             17688          328            
86             16632          512            
87             17120          512            
88             17280          512            
89             17416          512            
90             17552          512            
91             18016          512            
92             16176          512            
93             18504          512            
94             36952          328            
95             16312          512            
96             18640          1056           
97             22520          352            
98             19456          328            
99             19304          512            
100            19784          512            
101            19936          512            
102            20088          512            
103            21160          328            
104            20240          512            
105            20392          512            
106            20720          512            
107            20840          512            
108            22056          328            
109            21000          512            
110            21488          512            
111            21648          512            
112            21784          512            
113            21920          512            
114            22384          512            
115            20544          512            
116            22872          512            
117            20680          512            
118            23008          1056           
119            26888          352            
120            23824          328            
121            23672          512            
122            24152          512            
123            24304          512            
124            24456          512            
125            25528          328            
126            24608          512            
127            24760          512            
128            25088          512            
129            25208          512            
130            26424          328            
131            25368          512            
132            25856          512            
133            26016          512            
134            26152          512            
135            26288          512            
136            26752          512            
137            24912          512            
138            27240          512            
139            25048          512            
140            27376          1056           
141            31256          352            
142            28192          328            
143            28040          512            
144            28520          512            
145            28672          512            
146            28824          512            
147            29896          328            
148            28976          512            
149            29128          512            
150            29456          512            
151            29576          512            
152            30792          328            
153            29736          512            
154            30224          512            
155            30384          512            
156            30520          512            
157            30656          512            
158            31120          512            
159            29280          512            
160            31608          512            
161            29416          512            
162            31744          1056           
163            35624          352            
164            32560          328            
165            32408          512            
166            32888          512            
167            33040          512            
168            33192          512            
169            34264          328            
170            33344          512            
171            33496          512            
172            33824          512            
173            33944          512            
174            35160          328            
175            34104          512            
176            34592          512            
177            34752          512            
178            34888          512            
179            35024          512            
180            35488          512            
181            33648          512            
182            35976          512            
183            54752          328            
184            33784          512            
185            36112          1056           
186            40496          352            
187            37432          328            
188            37280          512            
189            37760          512            
190            37912          512            
191            38064          512            
192            39136          328            
193            38216          512            
194            38368          512            
195            38696          512            
196            38816          512            
197            40032          328            
198            38976          512            
199            39464          512            
200            39624          512            
201            39760          512            
202            39896          512            
203            40360          512            
204            38520          512            
205            40848          512            
206            38656          512            
207            40984          1056           
208            44864          352            
209            41800          328            
210            41648          512            
211            42128          512            
212            42280          512            
213            42432          512            
214            43504          328            
215            42584          512            
216            42736          512            
217            43064          512            
218            43184          512            
219            44400          328            
220            43344          512            
221            43832          512            
222            43992          512            
223            44128          512            
224            44264          512            
225            44728          512            
226            42888          512            
227            45216          512            
228            43024          512            
229            45352          1056           
230            49232          352            
231            46168          328            
232            46016          512            
233            46496          512            
234            46648          512            
235            46800          512            
236            47872          328            
237            46952          512            
238            47104          512            
239            47432          512            
240            47552          512            
241            48768          328            
242            47712          512            
243            48200          512            
244            48360          512            
245            48496          512            
246            48632          512            
247            49096          512            
248            47256          512            
249            49584          512            
250            47392          512            
251            49720          1056           
252            53600          352            
253            50536          328            
254            50384          512            
255            50864          512            
256            51016          512            
257            51168          512            
258            52240          328            
259            51320          512            
260            51472          512            
261            51800          512            
262            51920          512            
263            53136          328            
264            52080          512            
265            52568          512            
266            52728          512            
267            52864          512            
268            53000          512            
269            53464          512            
270            51624          512            
271            53952          512            
272            72552          328            
273            51760          512            
274            54088          1056           
275            58296          352            
276            55232          328            
277            55080          512            
278            55560          512            
279            55712          512            
280            55864          512            
281            56936          328            
282            56016          512            
283            56168          512            
284            56496          512            
285            56616          512            
286            57832          328            
287            56776          512            
288            57264          512            
289            57424          512            
290            57560          512            
291            57696          512            
292            58160          512            
293            56320          512            
294            58648          512            
295            56456          512            
296            58784          1056           
297            62664          352            
298            59600          328            
299            59448          512            
300            59928          512            
301            60080          512            
302            60232          512            
303            61304          328            
304            60384          512            
305            60536          512            
306            60864          512            
307            60984          512            
308            62200          328            
309            61144          512            
310            61632          512            
311            61792          512            
312            61928          512            
313            62064          512            
314            62528          512            
315            60688          512            
316            63016          512            
317            60824          512            
318            63152          1056           
319            67032          352            
320            63968          328            
321            63816          512            
322            64296          512            
323            64448          512            
324            64600          512            
325            65672          328            
326            64752          512            
327            64904          512            
328            65232          512            
329            65352          512            
330            66568          328            
331            65512          512            
332            66000          512            
333            66160          512            
334            66296          512            
335            66432          512            
336            66896          512            
337            65056          512            
338            67384          512            
339            65192          512            
340            67520          1056           
341            71400          352            
342            68336          328            
343            68184          512            
344            68664          512            
345            68816          512            
346            68968          512            
347            70040          328            
348            69120          512            
349            69272          512            
350            69600          512            
351            69720          512            
352            70936          328            
353            69880          512            
354            70368          512            
355            70528          512            
356            70664          512            
357            70800          512            
358            71264          512            
359            69424          512            
360            71752          512            
361            90552          328            
362            69560          512            
363            71888          1056           
364            76096          352            
365            73032          328            
366            72880          512            
367            73360          512            
368            73512          512            
369            73664          512            
370            74736          328            
371            73816          512            
372            73968          512            
373            74296          512            
374            74416          512            
375            75632          328            
376            74576          512            
377            75064          512            
378            75224          512            
379            75360          512            
380            75496          512            
381            75960          512            
382            74120          512            
383            76448          512            
384            74256          512            
385            76584          1056           
386            80464          352            
387            77400          328            
388            77248          512            
389            77728          512            
390            77880          512            
391            78032          512            
392            79104          328            
393            78184          512            
394            78336          512            
395            78664          512            
396            78784          512            
397            80000          328            
398            78944          512            
399            79432          512            
400            79592          512            
401            79728          512            
402            79864          512            
403            80328          512            
404            78488          512            
405            80816          512            
406            78624          512            
407            80952          1056           
408            84832          352            
409            81768          328            
410            81616          512            
411            82096          512            
412            82248          512            
413            82400          512            
414            83472          328            
415            82552          512            
416            82704          512            
417            83032          512            
418            83152          512            
419            84368          328            
420            83312          512            
421            83800          512            
422            83960          512            
423            84096          512            
424            84232          512            
425            84696          512            
426            82856          512            
427            85184          512            
428            82992          512            
429            85320          1056           
430            89400          352            
431            86336          328            
432            36688          512            
433            86664          512            
434            86816          512            
435            86968          512            
436            88040          328            
437            87120          512            
438            87272          512            
439            87600          512            
440            87720          512            
441            88936          328            
442            87880          512            
443            88368          512            
444            88528          512            
445            88664          512            
446            88800          512            
447            89264          512            
448            87424          512            
449            89752          512            
450            108352         328            
451            87560          512            
452            89888          1056           
453            94096          352            
454            91032          328            
455            90880          512            
456            91360          512            
457            91512          512            
458            91664          512            
459            92736          328            
460            91816          512            
461            91968          512            
462            92296          512            
463            92416          512            
464            93632          328            
465            92576          512            
466            93064          512            
467            93224          512            
468            93360          512            
469            93496          512            
470            93960          512            
471            92120          512            
472            94448          512            
473            92256          512            
474            94584          1056           
475            98464          352            
476            95400          328            
477            95248          512            
478            95728          512            
479            95880          512            
480            96032          512            
481            97104          328            
482            96184          512            
483            96336          512            
484            96664          512            
485            96784          512            
486            98000          328            
487            96944          512            
488            97432          512            
489            97592          512            
490            97728          512            
491            97864          512            
492            98328          512            
493            96488          512            
494            98816          512            
495            96624          512            
496            98952          1056           
497            102832         352            
498            99768          328            
499            99616          512            
500            100096         512            
501            100248         512            
502            100400         512            
503            101472         328            
504            100552         512            
505            100704         512            
506            101032         512            
507            101152         512            
508            102368         328            
509            101312         512            
510            101800         512            
511            101960         512            
