Segment        Offset         Length         
0              0              4194696        
1              194570364      4194232        
2              395899968      4194656        
3              591496412      44992          
4              591541468      4149576        
5              792515796      4194280        
6              1000627884     4194592        
7              1187112108     4194216        
8              1392580164     4194664        
9              1590440168     4194616        
10             1802476828     4194648        
11             2013779276     4194576        
12             2213260304     4194600        
13             2411012284     4194576        
14             2606893328     4194192        
15             2804209644     4194632        
16             3002197664     4194680        
17             3205713612     4194664        
18             3410610456     4194592        
19             3623570208     4194224        
20             3817938452     4194696        
21             4010889244     4194560        
22             4215126992     4194656        
23             4413869584     4194584        
24             4615073600     4194584        
25             4812586936     4194672        
26             5013107532     4194552        
27             5211401968     4194584        
28             5402338228     4194296        
29             5600357280     4194600        
30             5805176516     4194576        
31             6006285688     4194600        
32             6198885312     4194624        
33             6410437880     4194768        
34             6610890864     4194664        
35             6807109960     4194664        
36             7004779540     4194696        
37             7208870112     4194768        
38             7403354148     4194672        
39             7612979684     4194776        
40             7803616348     4194632        
41             7997276824     4194584        
42             8193761632     4194584        
43             8404541644     4194696        
44             8606954424     4194696        
45             8803773980     4194648        
46             8989680404     4194624        
47             9192880504     4194576        
48             9390100488     4194600        
49             9575619596     4194776        
50             9764210676     4194608        
51             9953434632     4194592        
52             10155525280    4194224        
53             10360405936    4194776        
54             10556835808    4194600        
55             10748887316    4194656        
56             10950181396    4194680        
57             11142943612    4194232        
58             11332483788    4194568        
59             11539763148    4194584        
60             11740767748    4194640        
61             11937301884    4194648        
62             12131439324    4194688        
63             12331241064    4194680        
64             12539184676    4194672        
65             12739987144    4194688        
66             12946134040    4194624        
67             13153182124    4194672        
68             13349852620    4194776        
69             13547942868    4194696        
70             13742212936    4194616        
71             13936486008    4194680        
72             14137251368    4194688        
73             14335443776    4194776        
74             14543362176    4194584        
75             14743927920    4194672        
76             14940401908    4194616        
77             15150263064    4194640        
78             15358219636    4194672        
79             15552842572    4194696        
80             15754625340    4194680        
81             15960353292    4194592        
82             16156643268    4194768        
83             16348939412    4194608        
84             16543765256    4194768        
85             16734059300    4194672        
86             16934745584    4194208        
87             17136921880    4194576        
88             17335613948    4194664        
89             17546018156    4194648        
90             17753544340    4194776        
91             17954354048    4194616        
92             18148290336    4194592        
93             18349913596    4194680        
94             18540841172    4194768        
95             18740366500    4194664        
96             18938716856    4194616        
97             19113902856    4194560        
98             19294967392    4194648        
99             19492638452    4194552        
100            19694718548    4194680        
101            19890918700    4194664        
102            20088104148    4194592        
103            20281083052    4194648        
104            20481929896    4194768        
105            20676702500    4194696        
106            20879823248    4194696        
107            21069629740    4194616        
108            21267016640    4194648        
109            21464667384    4194616        
110            21666554148    4194648        
111            21876773736    4194256        
112            22083131868    4194696        
113            22276096068    4194696        
114            22469546712    4194616        
115            22670029704    4194656        
116            22866344320    4194680        
117            23073774960    4194576        
118            23270086060    4194600        
119            23480457720    4194552        
120            23677928292    4194272        
121            23871903876    4194552        
122            24067948128    4194680        
123            24262459852    4194576        
124            24456427488    4194576        
125            24665804704    4194576        
126            24871011780    4194648        
127            25066307844    4194616        
128            25272358664    4194608        
129            25474952680    4194632        
130            25676500856    4194672        
131            25876832344    4194304        
132            26071874532    4194696        
133            26272806388    4194616        
134            26470780916    4194656        
135            26666034432    4194584        
136            26873997912    4194584        
137            27070158280    4194592        
138            27258652552    4194680        
139            27451732380    4194632        
140            27649820624    4194664        
141            27848199968    4194696        
142            28051612024    4194672        
143            28252076500    4194200        
144            28452798240    4194696        
145            28659450572    4194696        
146            28853824864    4194592        
147            29049939628    4194672        
148            29248289964    4194632        
149            29462322724    4194272        
150            29661741244    4194232        
151            29864072308    4194696        
152            30057652836    4194672        
153            30261517552    4194616        
154            30460204260    4194640        
155            30659280132    4194584        
156            30864911408    4194648        
157            31067931424    4194624        
158            31268924236    4194656        
159            31468766284    4194672        
160            31675219992    4194696        
161            31879720832    4194680        
162            32082346352    4194592        
163            32267187540    4194680        
164            32466035520    4194632        
165            32657771504    4194664        
166            32855715340    4194296        
167            33066911152    4194776        
168            33273029456    4194616        
169            33466260956    4194672        
170            33664393060    4194688        
171            33858701540    4194696        
172            34060061436    4194696        
173            34256940880    4194632        
174            34459625332    4194664        
175            34659872960    4194648        
176            34863624588    4194560        
177            35070102020    4194664        
178            35277882924    4194664        
179            35487946268    4194696        
180            35686488100    4194224        
181            35885167092    4194632        
182            36082066516    4194584        
183            36284421940    4194648        
184            36483752520    4194776        
185            36682899640    4194616        
186            36889413348    4194592        
187            37092821768    4194592        
188            37292457120    4194680        
189            37488628328    4194664        
190            37688237356    4194616        
191            37887353112    4194224        
192            38084649120    4194776        
193            38238077612    4194688        
194            38428851520    4194776        
195            38629912072    4194584        
196            38832376812    4194672        
197            39037164032    4194616        
198            39234253736    4194576        
199            39427694212    4194664        
200            39629882100    4194616        
201            39833066732    4194624        
202            40023185456    4194632        
203            40221524440    4194584        
204            40422166716    4194696        
205            40620888300    4194648        
206            40818717164    4194672        
207            41014930560    4194776        
208            41213628312    4194696        
209            41412639252    4194672        
210            41607533396    4194616        
211            41823971244    4194640        
212            42018793336    4194648        
213            42216434384    4194688        
214            42418536544    4194680        
215            42618014240    4194672        
216            42808460736    4194688        
217            43008187964    4194624        
218            43204141408    4194584        
219            43404251976    4194696        
220            43610180504    4194560        
221            43813503644    4194600        
222            44009618880    4194664        
223            44206465984    4194296        
224            44407322604    4194776        
225            44612969624    4194616        
226            44814993588    4194672        
227            45015828916    4194616        
228            45213992904    4194576        
229            45424706212    4194600        
230            45629828956    4194680        
231            45825026444    4194624        
232            46024850188    952392         
